12007|Alcove|New York|NY|42.4825|-73.9367
12009|Altamont|New York|NY|42.7063|-74.0193
12023|Berne|New York|NY|42.6108|-74.1466
12041|Clarksville|New York|NY|42.562|-73.9573
12045|Coeymans|New York|NY|42.4757|-73.7977
12046|Coeymans Hollow|New York|NY|42.4865|-73.9206
12047|Cohoes|New York|NY|42.7754|-73.7124
12054|Delmar|New York|NY|42.6158|-73.8373
12055|Dormansville|New York|NY|42.6149|-73.9708
12059|East Berne|New York|NY|42.6191|-74.0555
12067|Feura Bush|New York|NY|42.555|-73.9237
12077|Glenmont|New York|NY|42.5971|-73.7959
12084|Guilderland|New York|NY|42.6973|-73.8975
12085|Guilderland Center|New York|NY|42.6948|-73.9053
12107|Knox|New York|NY|42.66|-74.1168
12110|Latham|New York|NY|42.7462|-73.763
12111|Latham|New York|NY|42.6149|-73.9708
12120|Medusa|New York|NY|42.4515|-74.1315
12128|Newtonville|New York|NY|42.725|-73.7643
12143|Ravena|New York|NY|42.4754|-73.822
12147|Rensselaerville|New York|NY|42.5133|-74.1474
12158|Selkirk|New York|NY|42.5486|-73.8129
12159|Slingerlands|New York|NY|42.6485|-73.8711
12161|South Bethlehem|New York|NY|42.521|-73.8519
12183|Troy|New York|NY|42.746|-73.6943
12186|Voorheesville|New York|NY|42.6431|-73.9448
12189|Watervliet|New York|NY|42.7298|-73.7123
12193|Westerlo|New York|NY|42.5156|-74.0394
12201|Albany|New York|NY|42.6149|-73.9708
12202|Albany|New York|NY|42.6413|-73.7641
12203|Albany|New York|NY|42.7003|-73.8575
12204|Albany|New York|NY|42.6847|-73.7354
12205|Albany|New York|NY|42.7198|-73.8207
12206|Albany|New York|NY|42.6683|-73.7744
12207|Albany|New York|NY|42.656|-73.7508
12208|Albany|New York|NY|42.656|-73.7964
12209|Albany|New York|NY|42.6417|-73.7854
12210|Albany|New York|NY|42.6568|-73.7605
12211|Albany|New York|NY|42.713|-73.7739
12212|Albany|New York|NY|42.7168|-73.8104
12214|Albany|New York|NY|42.6149|-73.9708
12220|Albany|New York|NY|42.6149|-73.9708
12222|Albany|New York|NY|42.6929|-73.838
12223|Albany|New York|NY|42.6149|-73.9708
12224|Albany|New York|NY|42.6149|-73.9708
12225|Albany|New York|NY|42.6149|-73.9708
12226|Albany|New York|NY|42.6149|-73.9708
12227|Albany|New York|NY|42.6149|-73.9708
12228|Albany|New York|NY|42.6149|-73.9708
12229|Albany|New York|NY|42.6149|-73.9708
12230|Albany|New York|NY|42.6149|-73.9708
12231|Albany|New York|NY|42.6149|-73.9708
12232|Albany|New York|NY|42.6149|-73.9708
12233|Albany|New York|NY|42.6149|-73.9708
12234|Albany|New York|NY|42.6149|-73.9708
12235|Albany|New York|NY|42.6149|-73.9708
12236|Albany|New York|NY|42.6149|-73.9708
12237|Albany|New York|NY|42.6149|-73.9708
12238|Albany|New York|NY|42.6149|-73.9708
12239|Albany|New York|NY|42.6149|-73.9708
12240|Albany|New York|NY|42.6149|-73.9708
12241|Albany|New York|NY|42.6149|-73.9708
12242|Albany|New York|NY|42.6149|-73.9708
12243|Albany|New York|NY|42.6149|-73.9708
12244|Albany|New York|NY|42.6149|-73.9708
12245|Albany|New York|NY|42.6149|-73.9708
12246|Albany|New York|NY|42.6471|-73.7503
12247|Albany|New York|NY|42.6149|-73.9708
12248|Albany|New York|NY|42.6149|-73.9708
12249|Albany|New York|NY|42.6149|-73.9708
12250|Albany|New York|NY|42.6149|-73.9708
12252|Albany|New York|NY|42.6149|-73.9708
12255|Albany|New York|NY|42.6149|-73.9708
12256|Albany|New York|NY|42.6149|-73.9708
12257|Albany|New York|NY|42.6149|-73.9708
12260|Albany|New York|NY|42.6149|-73.9708
12261|Albany|New York|NY|42.6149|-73.9708
12262|Albany|New York|NY|42.6149|-73.9708
12288|Albany|New York|NY|42.6149|-73.9708
12469|Preston Hollow|New York|NY|42.4563|-74.242
14029|Centerville|New York|NY|42.4743|-78.2474
14707|Allentown|New York|NY|42.0737|-78.0594
14708|Alma|New York|NY|42.0169|-78.04
14709|Angelica|New York|NY|42.3263|-77.9947
14711|Belfast|New York|NY|42.32|-78.0943
14714|Black Creek|New York|NY|42.2855|-78.2312
14715|Bolivar|New York|NY|42.0704|-78.1448
14717|Caneadea|New York|NY|42.2577|-78.1746
14721|Ceres|New York|NY|42.0137|-78.2648
14727|Cuba|New York|NY|42.1882|-78.2751
